query,clicks,impressions,ctr,position
heisuke sakamoto days,0,17,0,9.71
jin kagemori,0,17,0,6.41
opera iruma kun,0,17,0,8.53
re zero roswaal,0,17,0,13.18
sanemi demon slayer,0,17,0,15.41
thanatos skeleton knight,0,17,0,6.94
the apothecary diaries gaoshun,0,17,0,7.94
tomohisa kaname,0,17,0,1
is it my fault that i got bullied manga,6,16,0.375,1.69
alpha the eminence in shadow,0,16,0,11.19
angel aaltonen,0,16,0,7.38
genya shinazugawa,0,16,0,22.44
hatsune shimizu,0,16,0,7.12
henderson spy x family,0,16,0,10.5
integra fairbrook wingates hellsing,0,16,0,9.88
jorge pikale,0,16,0,5.56
kindergarten wars rita,0,16,0,6.56
miyata,0,16,0,14.88
rengoku no toshi,0,16,0,8.25
sanoba,0,16,0,6.94
shibusawa,0,16,0,12.31
sir integra fairbrook wingates hellsing,0,16,0,15.44
tome mob psycho,0,16,0,8.69
yarandrala,0,16,0,6.81
yuri briar height,0,16,0,9.69
akaishi kuroe,0,15,0,9
apothecary diaries pairin,0,15,0,7.2
bocchan,0,15,0,8
chihiro rokuhira,0,15,0,20.8
date eiji,0,15,0,12.4
frederica rezero,0,15,0,9.93
granart,0,15,0,6.4
iron micheal,0,15,0,7.67
kanade beast tamer,0,15,0,9.13
lloyd 7th prince,0,15,0,8.93
mina ashiro kaiju no.8,0,15,0,9.8
moritonio,0,15,0,9.07
toki ninomae,0,15,0,5.67
full bloom okinaga,2,14,0.14286,10.21
akihiko kaji,0,14,0,10.86
anos anime character,0,14,0,8.36
ashiro mina,0,14,0,10.36
daryun,0,14,0,6.64
demon slayer tomioka,0,14,0,10.5
hoshina subaru,0,14,0,9.71
how old is poe bsd,0,14,0,10.07
is tartah colorblind,0,14,0,7.64
julius novachrono height,0,14,0,8.29
kiss shite killer tune,0,14,0,7.79
kristal garson,0,14,0,2.93
mashirao ojiro,0,14,0,9.21
merry go round manhwa,0,14,0,8.79
opera iruma,0,14,0,10.71
phantom cerberus,0,14,0,5.71
rinne amagane,0,14,0,8.64
rudersdorf tanya,0,14,0,9.29
sylvia sherwood,0,14,0,10.14
welcome to demon school opera,0,14,0,7.5
where to watch manhwa anime,0,14,0,8.21
jewelpet sapphie,1,13,0.07692,5.69
agari komi can't communicate,0,13,0,8.62
asahi to satsuki manga,0,13,0,7.92
cyberpunk gloria,0,13,0,9.23
frederica baumann,0,13,0,8.08
fubuki elusive samurai,0,13,0,7.92
hajime no ippo date,0,13,0,7.62
hector doyle,0,13,0,7.85
ichi the witch desscaras,0,13,0,13.92
mechania,0,13,0,6.69
mina ashiro kaiju no 8,0,13,0,13.15
miyagi shiori birthday,0,13,0,4.92
percival seven deadly sins,0,13,0,10.23
theatre of darkness: yamishibai 16,0,13,0,5.15
tomioka giyuu,0,13,0,17.23
bad born blood grace,2,12,0.16667,2.42
manga index,2,12,0.16667,3.25
anos demon king,0,12,0,9.75
beelzebub make the exorcist fall in love,0,12,0,6.08
black clover julius,0,12,0,15.33
fake asa daemons of the shadow realm,0,12,0,7.17
giyu tomioka,0,12,0,51.58
himiko agari,0,12,0,9.08
iglaskar,0,12,0,6.33
joe william frederic gabriel i,0,12,0,7
kaneki tokyo ghoul,0,12,0,19.67
luna runcandel,0,12,0,6.5
manhwa characters,0,12,0,14.42
miya chinen,0,12,0,13.17
novachrono,0,12,0,11
oingo jojo,0,12,0,11.92
phobio slime,0,12,0,7.25
ppodong greatest estate developer,0,12,0,7.5
ricardo re zero,0,12,0,7.17
rinri versus,0,12,0,6.83
shiho sawaragi,0,12,0,9.25
shin a sign of affection,0,12,0,7.33
sounds of earth umamusume,0,12,0,8.83
stroheim jojo,0,12,0,15.25
subaru the fragrant flower blooms with dignity,0,12,0,10.42
tatsuhiko shibusawa,0,12,0,14.42
the apothecary diaries pairin,0,12,0,6.75
witch hat atelier alaira,0,12,0,8.17
grace bad born blood,1,11,0.09091,2.45
watashi no kuro-chan,1,11,0.09091,5.45
yakyuu shoujo,1,11,0.09091,5.18
agari himiko,0,11,0,5.27
berserk schierke,0,11,0,7.36
captain harlock,0,11,0,10.55
chihiro kagurabachi,0,11,0,20.73
cyberpunk gloria martinez,0,11,0,9.27
doyle baki,0,11,0,13.55
gaoshun age,0,11,0,9.91
how old is klaus black clover,0,11,0,8
how old is ritsu kageyama,0,11,0,12.73
iruma kun opera,0,11,0,10.36
jiruo made in abyss,0,11,0,9.36
jo geol,0,11,0,5.64
jojo messina,0,11,0,5.73
kaja made in abyss,0,11,0,9.27
klaus black clover,0,11,0,9.73
kousei arima,0,11,0,16.91
lee sa young,0,11,0,8.64
make the exorcist fall in love beelzebub,0,11,0,7.18
orb hubert,0,11,0,5
ryohei arisu,0,11,0,16.09
saku natsusawa manga,0,11,0,6.36
seon manhwa,0,11,0,6.27
seventh prince lloyd,0,11,0,9.27
shizuku mizutani,0,11,0,6.45
subaru flower blooms with dignity,0,11,0,8.09
tomioka,0,11,0,15
yuri briar age,0,11,0,11.09
index manhwa,6,10,0.6,1
bad born blood lilian ramones,3,10,0.3,2.8
anos anime name,1,10,0.1,10.1
"+""jin seon"" ""glass eye""",0,10,0,3.5
agott,0,10,0,12.6
anos voldigoad anime name,0,10,0,8.9
anos voldigod,0,10,0,8.4
arisu,0,10,0,21.4
bagramon,0,10,0,9.1
chikyuu saigo no hi kokuhaku suru hanashi,0,10,0,4.7
elymas edvaugh,0,10,0,6.6
emalia steinbart,0,10,0,6.8
emile spy x family,0,10,0,9.2
ephtal,0,10,0,8
full bloom manga okinaga umanosuke,0,10,0,4.4
griffith,0,10,0,30.1
hide and seek manhwa,0,10,0,5
hikaru indou,0,10,0,9.7
ironfist chinmi,0,10,0,7.9
kuroe akaishi age,0,10,0,4.7
lakan,0,10,0,15.4
leonica ragna crimson,0,10,0,9.7
ma dong-wook,0,10,0,8.8
majikaja made in abyss,0,10,0,9.7
mob psycho tome,0,10,0,13.1
naiobi,0,10,0,5.5
orb on the movements of the earth rafal,0,10,0,7.8
patrick ashbatten,0,10,0,7.7
